seed,new_wars,wars_without_casus_belli,wars,nuclear_shots,shots,revolutions,crisis_by_10_years,rus_regime_10y,tur_regime_10y,coups,unrest_starts,defaults,price_low,price_high,tier1_gbr,tier1_deu,tier1_fra,events_journaled,bloc_decisions,wall_s
91,0,0,,0,,,1,parliamentary,electoral-authoritarian,1,0,,0.936,1.177,2036-01-01,2038-08-01,2038-05-01,55,38,50
92,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.907,1.190,2035-12-01,2039-10-01,2039-06-01,58,57,58
93,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.910,1.245,2036-01-01,2038-08-01,2038-06-01,60,37,55
94,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,4,,0.888,1.119,2035-12-01,2039-12-01,2040-05-01,55,68,54
95,0,0,,0,,,1,junta,parliamentary,2,5,,0.897,1.347,2036-01-01,2039-08-01,2039-02-01,49,72,49
96,1,0,RUS>UKR@2033-11:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,0,4,,0.871,1.403,2035-11-01,2038-09-01,2038-07-01,53,49,52
97,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,1,,0.885,1.241,2035-12-01,2038-10-01,2038-03-01,53,37,49
98,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.903,1.165,2036-01-01,2038-09-01,2039-01-01,53,68,52
99,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.907,1.182,2035-11-01,2039-11-01,2039-04-01,62,56,44
100,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.930,1.279,2035-12-01,2038-09-01,2039-04-01,54,62,44
