seed,new_wars,wars_without_casus_belli,wars,nuclear_shots,shots,revolutions,crisis_by_10_years,rus_regime_10y,tur_regime_10y,coups,unrest_starts,defaults,price_low,price_high,tier1_gbr,tier1_deu,tier1_fra,events_journaled,bloc_decisions,wall_s
32,2,0,RUS>UKR@2030-11:contested-territory RUS>UKR@2035-11:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,0,10,,0.923,1.186,2035-12-01,2038-10-01,2039-01-01,53,45,94
33,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,1,,0.887,1.339,2035-12-01,2038-10-01,2038-04-01,60,34,79
34,1,0,RUS>UKR@2031-10:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.921,1.219,2035-12-01,2038-10-01,2038-04-01,57,33,92
35,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.879,1.177,2035-12-01,2038-10-01,2038-08-01,50,33,76
36,3,0,RUS>UKR@2031-04:contested-territory RUS>UKR@2036-12:contested-territory RUS>UKR@2044-01:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.930,1.308,2035-12-01,2038-09-01,2038-08-01,54,35,101
37,2,0,RUS>UKR@2032-05:contested-territory RUS>UKR@2038-09:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,0,4,,0.873,1.219,2035-12-01,2038-10-01,2039-07-01,59,40,96
38,2,0,RUS>UKR@2031-02:contested-territory RUS>UKR@2036-08:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,0,4,,0.875,1.245,2035-12-01,2038-11-01,2038-04-01,51,39,93
39,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.914,1.196,2035-12-01,2038-10-01,2038-02-01,55,30,74
40,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.885,1.171,2035-12-01,2038-10-01,2038-07-01,56,33,77
41,2,0,RUS>UKR@2031-11:contested-territory RUS>UKR@2039-08:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,2,6,,0.907,1.119,2035-12-01,2038-10-01,2038-04-01,51,41,92
42,2,0,RUS>UKR@2033-07:contested-territory RUS>UKR@2040-10:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,1,8,,0.908,1.376,2035-12-01,2038-10-01,2039-06-01,58,36,94
43,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.892,1.183,2035-12-01,2038-10-01,2038-05-01,51,29,73
44,1,0,RUS>UKR@2032-01:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,0,3,,0.878,1.325,2035-12-01,2038-10-01,2039-01-01,51,38,88
45,2,0,RUS>UKR@2031-10:contested-territory RUS>UKR@2038-04:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,1,10,,0.906,1.325,2035-12-01,2038-09-01,2038-12-01,53,45,97
46,2,0,RUS>UKR@2030-08:contested-territory RUS>UKR@2035-09:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,2,13,,0.910,1.213,2035-12-01,2038-10-01,2038-04-01,70,34,93
47,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.912,1.190,2036-01-01,2038-11-01,2037-10-01,48,33,74
48,1,0,RUS>UKR@2032-02:contested-territory,0,,UKR@2033-09-01,1,electoral-authoritarian,electoral-authoritarian,3,5,,0.908,1.174,2035-12-01,2038-10-01,2039-02-01,60,38,88
49,2,0,RUS>UKR@2031-06:contested-territory RUS>UKR@2037-11:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.886,1.247,2035-12-01,2038-09-01,2038-08-01,55,36,92
50,3,0,RUS>UKR@2031-03:contested-territory RUS>UKR@2036-07:contested-territory RUS>UKR@2042-10:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,2,8,,0.925,1.247,2035-12-01,2038-09-01,2038-08-01,64,35,96
51,1,0,RUS>UKR@2032-09:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,0,5,,0.906,1.251,2035-12-01,2038-10-01,2038-12-01,54,34,86
52,0,0,,0,,,1,junta,electoral-authoritarian,1,2,,0.925,1.162,2035-12-01,2038-09-01,2038-07-01,57,36,72
53,1,0,RUS>UKR@2030-08:contested-territory,0,,,1,electoral-authoritarian,electoral-authoritarian,0,8,,0.922,1.208,2035-12-01,2038-10-01,2038-07-01,52,36,86
