seed,new_wars,wars_without_casus_belli,wars,nuclear_shots,shots,revolutions,crisis_by_10_years,rus_regime_10y,tur_regime_10y,coups,unrest_starts,defaults,price_low,price_high,tier1_gbr,tier1_deu,tier1_fra,events_journaled,bloc_decisions,wall_s
41,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,2,6,,0.907,1.225,2036-01-01,2038-09-01,2038-05-01,54,33,32
42,1,0,RUS>UKR@2032-06:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,0,5,,0.938,1.291,2036-01-01,2038-09-01,2038-08-01,51,34,41
43,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,2,3,,0.885,1.365,2036-01-01,2038-09-01,2038-06-01,59,39,32
44,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.903,1.236,2036-01-01,2038-09-01,2038-07-01,60,32,33
45,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.915,1.319,2036-01-01,2038-09-01,2038-06-01,56,31,31
46,1,0,RUS>UKR@2032-01:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,0,4,,0.906,1.209,2036-01-01,2038-09-01,2038-07-01,55,32,42
47,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.864,1.277,2036-01-01,2038-09-01,2038-05-01,57,28,32
48,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.914,1.420,2036-01-01,2038-09-01,2039-04-01,63,36,31
49,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,1,,0.914,1.130,2036-01-01,2038-09-01,2038-07-01,52,38,32
50,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.846,1.266,2036-01-01,2038-09-01,2038-05-01,56,34,32
51,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.908,1.200,2036-01-01,2038-09-01,2038-05-01,53,29,32
52,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.890,1.214,2036-01-01,2038-09-01,2038-05-01,51,34,31
53,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,7,,0.914,1.246,2036-01-01,2038-09-01,2038-06-01,65,32,32
54,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,7,,0.919,1.295,2036-01-01,2038-09-01,2038-06-01,53,29,31
55,1,0,RUS>UKR@2034-04:grievance,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.919,1.167,2036-01-01,2038-09-01,2038-06-01,58,37,41
56,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,3,,0.929,1.244,2036-01-01,2038-09-01,2038-08-01,53,31,32
57,0,0,,0,,,1,electoral-authoritarian,junta,2,4,,0.878,1.187,2036-01-01,2038-09-01,2039-01-01,46,37,33
58,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,4,,0.911,1.198,2036-01-01,2038-09-01,2038-12-01,55,38,33
59,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,3,,0.916,1.222,2036-01-01,2038-09-01,2038-06-01,60,38,32
60,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.913,1.229,2036-01-01,2038-09-01,2038-05-01,59,37,32
61,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,2,,0.900,1.265,2036-01-01,2038-09-01,2038-06-01,58,37,32
62,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,0,,0.921,1.172,2036-01-01,2038-09-01,2039-01-01,53,38,32
63,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.916,1.229,2036-01-01,2038-09-01,2038-04-01,60,32,30
64,1,0,RUS>UKR@2031-03:grievance,0,,,1,electoral-authoritarian,electoral-authoritarian,3,7,,0.917,1.221,2036-01-01,2038-09-01,2038-04-01,47,34,39
65,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,3,,0.907,1.241,2036-01-01,2038-09-01,2038-08-01,54,31,32
66,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,1,0,,0.918,1.294,2036-01-01,2038-09-01,2038-06-01,61,31,33
67,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,3,,0.876,1.317,2036-01-01,2038-09-01,2038-05-01,54,33,33
68,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,3,,0.917,1.302,2036-01-01,2038-09-01,2038-05-01,54,35,31
69,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,2,2,,0.908,1.259,2036-01-01,2038-09-01,2038-06-01,58,26,30
