# World Bank Open Data GB.XPD.RSDV.GD.ZS, last updated 2026-07-13, CC BY 4.0
iso3,year,value
CYP,2015,0.47529
CYP,2016,0.5197
CYP,2017,0.54259
CYP,2018,0.61032
CYP,2019,0.70269
CYP,2020,0.82581
CYP,2021,0.77686
CYP,2022,0.70468
CYP,2023,0.68145
CZE,2010,1.31352
CZE,2011,1.5323
CZE,2012,1.757
CZE,2013,1.86743
CZE,2014,1.94392
CZE,2015,1.906
CZE,2016,1.65411
CZE,2017,1.74513
CZE,2018,1.87652
CZE,2019,1.89547
CZE,2020,1.94537
CZE,2021,1.93302
CZE,2022,1.89089
CZE,2023,1.83369
DEU,2010,2.67632
DEU,2011,2.75016
DEU,2012,2.82499
DEU,2013,2.78067
DEU,2014,2.82218
DEU,2015,2.87725
DEU,2016,2.88393
DEU,2017,2.9886
DEU,2018,3.05057
DEU,2019,3.11256
DEU,2020,3.0897
DEU,2021,3.0786
DEU,2022,3.07096
DEU,2023,3.1539
DNK,2010,2.91389
DNK,2011,2.94198
DNK,2012,2.9845
DNK,2013,2.96145
DNK,2014,2.91543
DNK,2015,3.06422
DNK,2016,3.10209
DNK,2017,2.93576
DNK,2018,2.97895
DNK,2019,2.90605
DNK,2020,2.96533
DNK,2021,2.74323
DNK,2022,2.86709
DNK,2023,3.04841
DZA,2017,0.47865
DZA,2023,0.37787
DZA,2024,0.44395
ECU,2010,0.41127
ECU,2011,0.34115
ECU,2012,0.33308
ECU,2013,0.37423
ECU,2014,0.43839
EGY,2010,0.43345
EGY,2011,0.53154
EGY,2012,0.50899
EGY,2013,0.63895
EGY,2014,0.63649
EGY,2015,0.71858
EGY,2016,0.70848
EGY,2017,0.64486
EGY,2018,0.68839
EGY,2019,0.79617
EGY,2020,0.91564
EGY,2021,0.91175
EGY,2022,1.01968
EGY,2023,1.03356
EGY,2024,1.01757
ESP,2010,1.35436
ESP,2011,1.32726
ESP,2012,1.29268
ESP,2013,1.26864
ESP,2014,1.23401
ESP,2015,1.21165
ESP,2016,1.1808
ESP,2017,1.20198
ESP,2018,1.23288
ESP,2019,1.24207
ESP,2020,1.39637
ESP,2021,1.39617
