seed,new_wars,wars_without_casus_belli,wars,nuclear_shots,shots,revolutions,crisis_by_10_years,rus_regime_10y,tur_regime_10y,coups,unrest_starts,defaults,price_low,price_high,tier1_gbr,tier1_deu,tier1_fra,events_journaled,bloc_decisions,wall_s
43,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.912,1.183,2035-12-01,2038-10-01,2038-04-01,56,39,115
44,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.891,1.325,2035-12-01,2038-10-01,2039-02-01,49,36,119
45,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.857,1.325,2035-12-01,2038-10-01,2039-02-01,53,37,123
46,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.924,1.213,2035-12-01,2038-10-01,2038-07-01,71,33,126
47,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.866,1.190,2036-01-01,2038-11-01,2037-10-01,48,36,131
48,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,1,,0.874,1.174,2035-12-01,2038-10-01,2039-02-01,56,40,131
49,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.874,1.247,2035-12-01,2038-09-01,2038-09-01,50,33,123
50,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.904,1.247,2035-12-01,2038-09-01,2038-09-01,61,32,121
51,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,3,,0.920,1.251,2035-12-01,2038-10-01,2038-12-01,49,39,119
52,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.876,1.162,2035-12-01,2038-09-01,2038-08-01,58,37,119
53,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.884,1.208,2035-12-01,2038-10-01,2038-06-01,54,35,121
54,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,4,,0.896,1.356,2035-12-01,2038-10-01,2038-07-01,58,36,120
55,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,5,,0.901,1.226,2035-12-01,2038-10-01,2039-04-01,56,38,119
56,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.913,1.195,2035-12-01,2038-09-01,2038-08-01,64,31,119
57,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,3,,0.911,1.234,2035-12-01,2038-10-01,2039-02-01,52,34,118
58,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.905,1.165,2035-12-01,2038-10-01,2038-06-01,45,35,126
59,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.893,1.371,2035-12-01,2038-09-01,2038-10-01,59,30,129
60,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.896,1.234,2035-12-01,2038-09-01,2038-08-01,49,33,125
61,0,0,,0,,,1,junta,electoral-authoritarian,1,1,,0.918,1.222,2035-12-01,2038-10-01,2038-09-01,54,34,111
62,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.923,1.239,2035-12-01,2038-10-01,2038-04-01,53,35,112
63,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.919,1.206,2035-12-01,2038-10-01,2038-09-01,54,34,114
64,0,0,,0,,UKR@2028-11-01,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.911,1.205,2035-12-01,2038-10-01,2038-06-01,52,37,126
65,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.894,1.193,2035-12-01,2038-11-01,2039-05-01,57,47,126
66,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,6,,0.918,1.294,2035-11-01,2038-09-01,2038-09-01,62,37,127
67,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.929,1.207,2035-12-01,2038-10-01,2038-04-01,57,35,118
68,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,2,,0.899,1.292,2035-12-01,2038-10-01,2038-06-01,44,41,123
69,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,3,,0.912,1.222,2035-12-01,2038-10-01,2038-12-01,55,45,116
70,0,0,,0,,,1,parliamentary,electoral-authoritarian,3,0,,0.898,1.235,2035-12-01,2038-10-01,2039-04-01,61,54,118
71,0,0,,0,,,1,electoral-authoritarian,junta,1,0,,0.901,1.357,2035-12-01,2038-09-01,2038-07-01,61,36,125
72,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,2,,0.905,1.145,2035-12-01,2038-10-01,2038-08-01,51,35,117
73,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.906,1.215,2035-12-01,2038-10-01,2038-11-01,52,39,115
74,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,1,,0.892,1.295,2035-12-01,2038-10-01,2039-01-01,55,45,113
75,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,2,,0.895,1.198,2035-12-01,2038-09-01,2038-08-01,59,41,112
76,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.892,1.232,2035-12-01,2038-10-01,2038-08-01,49,34,118
77,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,6,,0.916,1.263,2035-12-01,2038-09-01,2038-09-01,59,37,125
78,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,2,,0.930,1.223,2035-12-01,2038-10-01,2038-06-01,54,33,116
79,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,2,,0.892,1.185,2035-12-01,2038-09-01,2038-08-01,40,32,112
80,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.901,1.216,2035-12-01,2038-10-01,2038-05-01,62,32,113
81,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,6,,0.910,1.282,2035-12-01,2038-10-01,2038-04-01,51,32,114
82,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,4,,0.907,1.175,2035-12-01,2038-09-01,2038-06-01,51,36,130
83,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.907,1.176,2035-12-01,2038-09-01,2038-08-01,51,30,128
84,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,4,,0.925,1.192,2035-12-01,2038-09-01,2038-06-01,50,35,122
85,0,0,,0,,,0,electoral-authoritarian,electoral-authoritarian,0,0,,0.920,1.249,2035-12-01,2038-09-01,2038-07-01,54,33,115
86,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,0,1,,0.888,1.202,2035-12-01,2038-09-01,2038-09-01,51,33,118
87,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,1,8,,0.920,1.187,2035-12-01,2038-10-01,2038-04-01,57,37,123
88,0,0,,0,,,1,electoral-authoritarian,electoral-authoritarian,2,2,,0.920,1.193,2035-12-01,2038-10-01,2038-08-01,58,32,118
